##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
11.60910, 11.78302
11.61750, 8.465576
11.62580, 15.59958
11.63420, 25.26306
11.64260, 21.35599
11.65090, 21.35092
11.65930, 19.96271
11.66760, 43.37390
11.67600, 1.294495
11.68430, 14.57126
11.69270, 25.78064
11.70110, 18.05063
11.70940, 20.14890
11.71780, 2.553284
11.72610, 4.382202
11.73450, 1.437012
11.74280, 11.28140
11.75120, 7.945313
11.75950, 17.78873
11.76790, 8.774963
11.77630, 19.57724
11.78460, 25.13046
11.79300, 11.53717
11.80130, 17.69791
11.80970, 1.989929
11.81800, 22.76831
11.82640, 10.70609
11.83470, 11.26224
11.84310, 6.958984
11.85150, 18.14508
11.85980, 13.06070
11.86820, 21.13602
11.87650, 18.57419
11.88490, 14.45187
11.89320, 3.545532
11.90160, 14.73856
11.91000, 26.70105
11.91830, 13.44897
11.92670, 12.78400
11.93500, 16.22507
11.94340, 20.23560
11.95170, 26.74966
11.96010, 14.87912
11.96840, 7.308807
11.97680, 10.94061
11.98520, 29.47864
11.99350, 5.596161
12.00190, 2.967682
12.01020, 12.86038
12.01860, 11.96970
12.02690, 3.377319
12.03530, 4.274658
12.04360, 24.16821
12.05200, 33.41736
12.06040, 25.00461
12.06870, 4.185669
12.07710, 29.48483
12.08540, 15.47556
12.09380, 1.064240
12.10210, 9.114838
12.11050, 12.16836
12.11890, 17.32590
12.12720, 3.330872
12.13560, 35.84418
12.14390, 1.869965
12.15230, 33.94229
12.16060, 30.76959
12.16900, 39.22635
12.17730, 12.60309
12.18570, 15.05875
12.19410, 22.15384
12.20240, 17.81790
12.21080, 24.53186
12.21910, 23.10947
12.22750, 22.45215
12.23580, 19.64813
12.24420, 23.06976
12.25250, 12.73618
12.26090, 5.943237
12.26930, 18.20303
12.27760, 1.068787
12.28600, 18.02673
12.29430, 36.94113
12.30270, 12.29395
12.31100, 15.61298
12.31940, 21.22946
12.32780, 6.233337
12.33610, 28.51031
12.34450, 20.89093
12.35280, 26.04294
12.36120, 19.35504
12.36950, 2.413513
12.37790, 17.95251
12.38620, 25.10910
12.39460, 14.00812
12.40300, 12.76657
12.41130, 17.52457
12.41970, 18.40201
12.42800, 14.43884
12.43640, 12.50769
12.44470, 1.526611
12.45310, 25.00845
12.46140, 9.639313
12.46980, 12.27704
